1	3	4	10	11	21	22	36	37	55	56	77	78	99	100
2	5	9	12	20	23	35	38	54	57	76	79	98	101	120
6	8	13	19	24	34	39	53	58	75	80	97	102	119	121
7	14	18	25	33	40	52	59	74	81	96	103	118	122	137
15	17	26	32	41	51	60	73	82	95	104	117	123	136	138
16	27	31	42	50	61	72	83	94	105	116	124	135	139	150
28	30	43	49	62	71	84	93	106	115	125	134	140	149	151
29	44	48	63	70	85	92	107	114	126	133	141	148	152	159
45	47	64	69	86	91	108	113	127	132	142	147	153	158	160
46	65	68	87	90	109	112	128	131	143	146	154	157	161	164
66	67	88	89	110	111	129	130	144	145	155	156	162	163	165
